"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","@Vitoria_Flu gato só eu meu bem",FALSE,0,"Vitoria_ffc","2019-02-25 23:57:25",FALSE,"1100182418445791232","1100183012103409664","2927248143","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","G_Santoszz",0,FALSE,FALSE,NA,NA
"20","@rokbah70 Afraid she may have acold flu",FALSE,1,"rokbah70","2019-02-25 23:57:18",FALSE,"1100177437357469696","1100182985360506880","961088645502521344","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pureheart421",0,FALSE,FALSE,NA,NA
"21","@OtakuDante Look up the meaning of ""herd immunity."" You're getting it to protect yourself, but also in large part s… https://t.co/g0SZm7HYO5",FALSE,1,"OtakuDante","2019-02-25 23:57:14",TRUE,"1100181276139634688","1100182967299624960","45158778","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alistasi",0,FALSE,FALSE,NA,NA
"22","@CadarFredj @_davisalgueiro @hevertonfutebol Fred o que acha do Welington Silva do Inter ex Flu? Rapido, racudo e habilidoso.",FALSE,0,"CadarFredj","2019-02-25 23:57:11",FALSE,"1100177030359015424","1100182955161518080","275689209","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thiago54156808",0,FALSE,FALSE,NA,NA
"23","Rachei de rir 7 anos e meio atras quando o Flu foi campeão brasileiro, os porcos já xingavam o Felipão... vai demor… https://t.co/eEZ66R20r1",FALSE,0,NA,"2019-02-25 23:57:06",TRUE,NA,"1100182933359509504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sjscapital91",0,FALSE,FALSE,NA,NA
"24","Flu season https://t.co/98k9LqHJqj",FALSE,1,NA,"2019-02-25 23:57:06",FALSE,NA,"1100182932503887872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BraekHaven",0,FALSE,FALSE,NA,NA
"25","Terminou com aquele mulek? — s https://t.co/GF7RwJx6Ss",FALSE,2,NA,"2019-02-25 23:56:59",FALSE,NA,"1100182906201427968",NA,"<a href=""https://curiouscat.me"" rel=""nofollow"">Curious Cat</a>","Vitoria_ffc",0,FALSE,FALSE,NA,NA
"26","@luizasabg Isso não existe. O maraca não é do fluminense. Ele tem um contrato falando que caso ele não for o mandan… https://t.co/0gABthXYyz",FALSE,0,"luizasabg","2019-02-25 23:56:57",TRUE,"1100004827122335744","1100182894281195520","50045830","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adriano46973155",0,FALSE,FALSE,NA,NA
"27","Flu season is almost over, but that doesn't mean we are completely out of the woods yet. The virus is still mutatin… https://t.co/Hs3cVdI1Wa",FALSE,1,NA,"2019-02-25 23:56:53",TRUE,NA,"1100182879177527296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Immunize_USA",0,FALSE,FALSE,NA,NA
"28","I got results
“You’ve got the flu. Both A&amp;B”

FLU? FLUUUU???! https://t.co/0uazxlqaxM",FALSE,1,"logansaysyee","2019-02-25 23:56:42",FALSE,"1100178173038342144","1100182831173681152","1078610315946938368","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","logansaysyee",0,FALSE,FALSE,NA,NA
"29","i have the flu",FALSE,0,NA,"2019-02-25 23:56:19",FALSE,NA,"1100182734771761152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","saltib1",0,FALSE,FALSE,NA,NA
"30","The flu is killing me",FALSE,0,NA,"2019-02-25 23:56:11",FALSE,NA,"1100182702270095360",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pgmw__",0,FALSE,FALSE,NA,NA
"31","@_boyynextdoor Flu cabanga. Ingbambe ngeChoke slam <U+0001F614>",FALSE,0,"_boyynextdoor","2019-02-25 23:56:04",FALSE,"1100182131152732160","1100182674583572480","738387941861556224","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nondumv",0,FALSE,FALSE,NA,NA
"32","@PhoneBoy Respect. Only time I get thinner is w a good bout of the stomach flu",FALSE,0,"PhoneBoy","2019-02-25 23:55:59",FALSE,"1099886216307126272","1100182652575899648","1952","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","profworr",0,FALSE,FALSE,NA,NA
"33","The flu is now widespread in nearly the entire country, according to the latest from the CDC. Did you get a flu sho… https://t.co/ghRn79Tg8N",FALSE,0,NA,"2019-02-25 23:55:59",TRUE,NA,"1100182650822774784",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","PelhamPatch",0,FALSE,FALSE,NA,NA
"34","The flu is now widespread in nearly the entire country, according to the latest from the CDC. Did you get a flu sho… https://t.co/hEoFJYHgv7",FALSE,0,NA,"2019-02-25 23:55:59",TRUE,NA,"1100182650793443328",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","YorktownPatch",0,FALSE,FALSE,NA,NA
"35","The flu is now widespread in nearly the entire country, according to the latest from the CDC. Did you get a flu sho… https://t.co/iH2QC0mSPE",FALSE,0,NA,"2019-02-25 23:55:59",TRUE,NA,"1100182650776637440",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","TarrytownsPatch",0,FALSE,FALSE,NA,NA
"36","The flu is now widespread in nearly the entire country, according to the latest from the CDC. Did you get a flu sho… https://t.co/Slbqit50YZ",FALSE,0,NA,"2019-02-25 23:55:58",TRUE,NA,"1100182650734682112",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","RivertownsPatch",0,FALSE,FALSE,NA,NA
"37","The flu is now widespread in nearly the entire country, according to the latest from the CDC. Did you get a flu sho… https://t.co/lmKMpCyXpT",FALSE,0,NA,"2019-02-25 23:55:56",TRUE,NA,"1100182641754718208",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","BronxvillePatch",0,FALSE,FALSE,NA,NA
"38","The flu is now widespread in nearly the entire country, according to the latest from the CDC. Did you get a flu sho… https://t.co/MicgYfHxod",FALSE,0,NA,"2019-02-25 23:55:56",TRUE,NA,"1100182641704423424",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","NyackPatch",0,FALSE,FALSE,NA,NA
"39","The flu is now widespread in nearly the entire country, according to the latest from the CDC. Did you get a flu sho… https://t.co/XBNG5qTpS5",FALSE,0,NA,"2019-02-25 23:55:56",TRUE,NA,"1100182641616277504",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","PvillePatch",0,FALSE,FALSE,NA,NA
"40","I have the stomach flu and a midterm tomorrow so it’s shaping up to be a fun week already",FALSE,1,NA,"2019-02-25 23:55:54",FALSE,NA,"1100182633332367360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caitliiiinnnnn",0,FALSE,FALSE,NA,NA
"41","@marcellomdias @Gustavo_10_flu dps te conto tudinho papitoo, pode deixar",FALSE,2,"marcellomdias","2019-02-25 23:55:49",FALSE,"1100180557214949376","1100182609626386432","166379349","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","maricardoso_05",0,FALSE,FALSE,NA,NA
