"","screenName","location","latitude","longitude","state"
"318","hellogoogirl","Maunawili, Hawaii",21.3727778,-157.7705556,"Hawaii"
"323","TinaTheLardFN","Charlotte, NC",35.2270869,-80.8431267,"North Carolina"
"324","Ondrayaaa","Jonesboro",35.8422967,-90.704279,"Arkansas"
"325","InKellzWeTrust","Racine , Wisconsin",42.7261309,-87.7828523,"Wisconsin"
"330","IceBlue102","Irvine",33.6845673,-117.8265049,"California"
"332","amyncrookton_","Toledo, OH",41.6528052,-83.5378674,"Ohio"
"334","Kasejohnson14","Sandusky, OH",41.4561754,-82.7116821,"Ohio"
"335","MChereese_","NOLA<U+269C><U+FE0F><U+0001F5A4><U+0001F49B>",29.9510658,-90.0715323,"Louisiana"
"336","IndieBombDotCom","New York, USA",40.7127753,-74.0059728,"New York"
"338","yvespops","pops",35.658277,-97.33548,"Oklahoma"
"340","HelloCVH","next to the snacks",36.3424366,-94.2096386,"Arkansas"
"342","MarcoAnimeYT","Grand Line",36.2188877,-115.2082377,"Nevada"
"347","Sammy_Socialite","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"352","glibly_jjb","Nashville, TN",36.1626638,-86.7816016,"Tennessee"
"353","sonyeonsana","yana",27.9423719,-82.486229,"Florida"
"354","Nataliaa_r98","Perris, CA",33.7825194,-117.2286478,"California"
"355","Aluminemsiren","Arlington, TX",32.735687,-97.1080656,"Texas"
"356","katie_deserto","New York, USA",40.7127753,-74.0059728,"New York"
"357","Ratmanners","Spokane, WA",47.6587802,-117.4260465,"Washington"
"358","quinncy","Los Angeles",34.0522342,-118.2436849,"California"
"359","ACh3rry","KSU",34.0380784,-84.5815717,"Georgia"
"362","baybeeteejayx03","T X <U+21A0> C O.",31.9685988,-99.9018131,"Texas"
"363","baileyruedisale","Lansing, MI",42.732535,-84.5555347,"Michigan"
"366","Cjsmithcassidy2","Maryland, USA",39.0457549,-76.6412712,"Maryland"
"368","RedTheCatsDiary","California, USA",36.778261,-119.4179324,"California"
"369","BreakofDMG","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"375","UNDRSCORE87_FGC","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"376","kinggouch1k","ATLANTA GA ",33.7489954,-84.3879824,"Georgia"
"377","rafalhill","New England, USA",43.9653889,-70.8226541,"Maine"
"378","jxckie14","San Antonio, TX",29.4241219,-98.4936282,"Texas"
"380","queencarii","UNCG",36.0689296,-79.8101975,"North Carolina"
"381","jalon502","Louisvlle, Louisville",38.2526647,-85.7584557,"Kentucky"
"382","TobyBaratta","Seattle, WA",47.6062095,-122.3320708,"Washington"
"383","SheCallsMeKing","Charlotte/Concord",35.4087517,-80.579511,"North Carolina"
"384","yeaitsmisty","Dallas, TX",32.7766642,-96.7969879,"Texas"
"386","sigh_johnnax0","217",36.7499635,-95.967834,"Oklahoma"
"388","TropicalJazzz","Houston, TX",29.7604267,-95.3698028,"Texas"
"390","gone4good567","World ",36.7491737,-95.972262,"Oklahoma"
"392","GammPop","New Jersey, USA",40.0583238,-74.4056612,"New Jersey"
"395","LoveelyVivi_","Oxnard, CA",34.1975048,-119.1770516,"California"
"398","ANDREASPOHLMAN3","Clearwater, FL",27.9658533,-82.8001026,"Florida"
"399","Alxx_M","San Antonio",29.4241219,-98.4936282,"Texas"
"400","pagano_joe","Bayonne NJ<U+2708><U+FE0F>Tampa FL",40.6687141,-74.1143091,"New Jersey"
"401","andisoflyy","Wis<U+2708><U+FE0F>NY<U+2708><U+FE0F>OK",43.7844397,-88.7878678,"Wisconsin"
"402","nicholasbryan25","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"403","yourdeadgotcha","Your cemetery",36.7281566,-95.9305448,"Oklahoma"
"409","DragonEmbers","Hell ",42.43472,-83.985,"Michigan"
"410","BaileyTheKid","Greenwood, WI",44.7702406,-90.5993076,"Wisconsin"
"412","g_jasemine","Bakersfield, CA",35.3732921,-119.0187125,"California"
"415","victooriaaac","Houston, TX",29.7604267,-95.3698028,"Texas"
"417","SuzanneSuchan","Orchard Park, NY",42.7675323,-78.7440921,"New York"
"418","K0ALAF13D","Vancouver, WA",45.6272259,-122.6727305,"Washington"
"419","_melxc","LB x SD <U+0001F334>",43.9695148,-99.9018131,"South Dakota"
"423","jongho_9","tula <U+2665><U+203F><U+2665> d-14 till ateez atl",33.7489954,-84.3879824,"Georgia"
"424","grownwyou","ohio <U+03A8>",40.4172871,-82.907123,"Ohio"
"426","1Freebandyonna","GA",32.1656221,-82.9000751,"Georgia"
"427","izsoloilooklike","Pittsburgh",40.4406248,-79.9958864,"Pennsylvania"
"432","Wassy_Cassy","Atascosa, Texas ",29.2648341,-98.7348026,"Texas"
"433","JonathanTripp21","In The Valley of Tripp",39.2046283,-121.0660719,"California"
"434","MisfitLeBeau","Louisiana",30.9842977,-91.9623327,"Louisiana"
"435","biforashley","Charlotte, NC",35.2270869,-80.8431267,"North Carolina"
"438","BluSimba_","Cleveland, OH",41.49932,-81.6943605,"Ohio"
"439","Bosstress23","Louisiana<U+2764><U+FE0F>",30.9842977,-91.9623327,"Louisiana"
"440","calixoxo___","Phoenix, AZ",33.4483771,-112.0740373,"Arizona"
"441","stachbuakr","Florida, USA",27.6648274,-81.5157535,"Florida"
"442","apooky35","Alpine, TX",30.3584919,-103.6610115,"Texas"
"448","KallistaM1997","Michigan, USA",44.3148443,-85.6023643,"Michigan"
"449","spinmynips","Bay Area",37.8271784,-122.2913078,"California"
"451","chvpo","Indy",39.768403,-86.158068,"Indiana"
"453","megbennington","Nashville, TN",36.1626638,-86.7816016,"Tennessee"
"454","ballanature19","above the law",42.0159589,-87.6676419,"Illinois"
"455","makabitch","GU // Port Orchard, WA",47.5403732,-122.6362492,"Washington"
"456","urfuneralbae","New York, USA",40.7127753,-74.0059728,"New York"
"457","hoosiemommy27","Indiana, USA",40.2671941,-86.1349019,"Indiana"
"458","lyricall_15","Albany ga",31.5785074,-84.155741,"Georgia"
"459","DentalOfficeNYC","New York, NY",40.7127753,-74.0059728,"New York"
"462","BlakeMadison_","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"463","Just_Quitta","Charlotte, NC",35.2270869,-80.8431267,"North Carolina"
"464","TMD_Love","Florida, USA",27.6648274,-81.5157535,"Florida"
"466","TandyToaster","from pillar to post",37.0621328,-93.2224093,"Missouri"
"467","skyking1975","bedrock,ma. 02740",41.6381659,-70.9368469,"Massachusetts"
"469","TNMelissa","Tennessee",35.5174913,-86.5804473,"Tennessee"
"470","YungBunnyLu","South East",37.0358272,-95.6276367,"Kansas"
"473","_JorDyyy_","NOLA",29.9510658,-90.0715323,"Louisiana"
"478","_barbiegirl11_","Michigan, USA",44.3148443,-85.6023643,"Michigan"
"479","mugeca","Canadia",40.7534496,-73.9893388,"New York"
"481","nickysltx","Houston TX",29.7604267,-95.3698028,"Texas"
"482","billymocolorado","Englewood, CO",39.6477653,-104.9877597,"Colorado"
"485","desabae_","inside",36.292268,-95.842016,"Oklahoma"
"486","shanerice","Milton, FL",30.6324149,-87.0396881,"Florida"
"489","TheSecondMario","Duncanville, TX",32.6518004,-96.9083366,"Texas"
"491","_YasmineMickal","Tennessee, USA",35.5174913,-86.5804473,"Tennessee"
"492","_inkyytee","301",37.2256801,-95.706922,"Kansas"
"493","_HelloJenny","Palmdale",34.5794343,-118.1164613,"California"
"494","meghanplustwo","New York",40.7127753,-74.0059728,"New York"
"496","OneReese_","4th Ward",29.7579028,-95.3808683,"Texas"
"497","MeKiRoMoHamm","CALIFORNIA or A NICE BEACH!!!",34.0393629,-118.8757839,"California"
"499","leledaboss_","Michigan, USA",44.3148443,-85.6023643,"Michigan"
"502","123RMAGA1","N. Dallas 'Burbs",32.9620968,-96.7863844,"Texas"
"504","arejaypeejay","Port Arthur, TX ",29.8849504,-93.939947,"Texas"
"505","nycholmboy074","Coconut Creek, FL",26.2517482,-80.1789351,"Florida"
"506","MelroseAve_","Colorado Springs, CO",38.8338816,-104.8213634,"Colorado"
"507","alexparkmall","Texas, USA",31.9685988,-99.9018131,"Texas"
"511","_erinmichelle__","843",32.9170585,-80.0285598,"South Carolina"
"512","rygbxns","El Paso, TX",31.7618778,-106.4850217,"Texas"
"514","BeAutyFulSavag3","Inglewood, CA",33.9616801,-118.3531311,"California"
"515","NVTIVbass","Colorado, USA",39.5500507,-105.7820674,"Colorado"
"518","kennyya94","Sacramento, CA",38.5815719,-121.4943996,"California"
"520","tauxian","California, USA",36.778261,-119.4179324,"California"
"521","TopherHarding","Texas State University",29.888411,-97.938351,"Texas"
"522","_Jdugg","Prince George, VA",37.1593052,-77.2405153,"Virginia"
"523","xcookieofgrande","NM USA | see ariana on 7-11-19",34.5199402,-105.8700901,"New Mexico"
"524","Mollyrocket1","Nyc",40.7127753,-74.0059728,"New York"
"525","creepydollchick","in your closet",35.4782531,-97.3703058,"Oklahoma"
"527","SamHenken","Brooklyn, NY",40.6781784,-73.9441579,"New York"
"538","myartmyworld","in music, writing, & art world",42.3466964,-71.0870951,"Massachusetts"
"540","katie_mayyy_","Arizona, USA",34.0489281,-111.0937311,"Arizona"
"546","Ambrosiarose1","Universal",28.4538786,-81.4644812,"Florida"
"549","yesi_tweets","San Diego, CA",32.715738,-117.1610838,"California"
"553","CandiMathis","Music City, USA",36.1626638,-86.7816016,"Tennessee"
"556","darklulvibee","chicago <U+0001F923>!",41.8781136,-87.6297982,"Illinois"
"557","whitneythomass","Kentucky, USA ",37.8393332,-84.2700179,"Kentucky"
"559","katiidoll","Rutgers U",40.5008186,-74.4473991,"New Jersey"
"562","MrBoominSolo","the set.",36.032327,-86.79892,"Tennessee"
"565","RazzYoga","Phoenix, MD",39.51291,-76.6074575,"Maryland"
"566","GollesSierra","•|i|• Ø i+! ].[",40.1019523,-88.2271615,"Illinois"
"569","AutumnWyvermn","Sunrise, FL",26.1669711,-80.256595,"Florida"
"570","WaywardPlane","Titusville, FL",28.6122187,-80.8075537,"Florida"
"571","azwitasari","Pride Rock",32.804048,-96.169901,"Texas"
"572","b_mcnett","Bremerton, WA",47.5650067,-122.6269768,"Washington"
"574","josevic65","Alabama",32.3182314,-86.902298,"Alabama"
"576","Codstermania","Minnesota, USA",46.729553,-94.6858998,"Minnesota"
"577","lillia1776","grundy va ",37.2778886,-82.0990223,"Virginia"
"578","AuntieLuke","no where near you.",36.0982691,-115.1640743,"Nevada"
"579","NasdaqCrypto","moon",40.5169767,-80.2213477,"Pennsylvania"
"584","AliciaGoy","Mililani Mauka, HI",21.4513314,-158.0152807,"Hawaii"
"585","0215MADman","Michigan, USA",44.3148443,-85.6023643,"Michigan"
"586","deck_the_holly","Bay Area, CA",37.8271784,-122.2913078,"California"
"587","marymonzon06","Birmingham, AL",33.5185892,-86.8103567,"Alabama"
"588","skylar6918","Orlando, FL",28.5383355,-81.3792365,"Florida"
"590","cloth_mother","Fort Collins, CO",40.5852602,-105.084423,"Colorado"
"591","MissAyaKurumi","The city of Keeling",32.2591734,-110.9655659,"Arizona"
"592","SherriB0mb","Tucson, AZ",32.2226066,-110.9747108,"Arizona"
"593","_TheRealistTayy","2-5",42.142302,-77.049474,"New York"
"594","papiiaaron","California, USA",36.778261,-119.4179324,"California"
"598","buerbtw","California, USA",36.778261,-119.4179324,"California"
"600","DominaSlut","Pittsburgh ",40.4406248,-79.9958864,"Pennsylvania"
"601","CrazieNLov3","Zone6",33.7509329,-84.3213409,"Georgia"
"603","gorgeousTEELEE","The Hills ",39.1939147,-94.587778,"Missouri"
"607","Weebvile","South Florida",27.6648274,-81.5157535,"Florida"
"608","_TinyBriana","California<U+2600><U+FE0F>",36.778261,-119.4179324,"California"
"610","Elizabeth_C28","Houston, TX",29.7604267,-95.3698028,"Texas"
"611","BooBvtch","Southaven, MS",34.9918587,-90.0022958,"Mississippi"
"614","GirlOxygen","your mom's",30.393345,-91.161682,"Louisiana"
"615","princesspea7","Oregon",43.8041334,-120.5542012,"Oregon"
"616","Helloworld1012","Renton, WA",47.4796927,-122.2079218,"Washington"
"617","Javier_Garc161","Hell",42.43472,-83.985,"Michigan"
"618","Hello_Davey","Brooklyn, NYC",40.6781784,-73.9441579,"New York"
"624","DrewbiesDoobies","California, USA",36.778261,-119.4179324,"California"
"625","PrissyBritchez","rayscar ",42.1797948,-71.2219418,"Massachusetts"
"627","PAULADESIMIO","Mansfield, Texas",32.5631924,-97.1416768,"Texas"
"629","CrippledQueer","Reading or Bristol ",44.13291,-73.07848,"Vermont"
"630","simply_sandy89","Manhattan, NY",40.7830603,-73.9712488,"New York"
"631","JennaSampson1","In my bed ",44.1068197,-103.2112366,"South Dakota"
"632","Supa_by_nature","Krypton..",33.009056,-96.672847,"Texas"
"633","skylar_grace18","Michigan, USA",44.3148443,-85.6023643,"Michigan"
"634","psquaredlens","Chicago",41.8781136,-87.6297982,"Illinois"
"638","MikailaTrillard","talking about basketball / PDX",45.5319259,-122.6668596,"Oregon"
"641","MarianneLee2016","TEXAS ",31.9685988,-99.9018131,"Texas"
"642","ysayanaa","Los Angeles, CA",34.0522342,-118.2436849,"California"
"644","tz_uyu","ia",41.8780025,-93.097702,"Iowa"
"647","AyeCutt","Richmond, VA",37.5407246,-77.4360481,"Virginia"
"648","Team__David","Leo, TX ",30.3660435,-96.9849839,"Texas"
"650","kriistyxo","Maricopa, AZ",33.0581063,-112.0476423,"Arizona"
"652","OctoberrSZN","Long Island",40.789142,-73.134961,"New York"
"653","danatheHG","vibe central. ",39.9961372,-82.023828,"Ohio"
"654","syazniomar","School of accounting",36.1532457,-95.9472048,"Oklahoma"
"655","Reading_Deals","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"658","thenearzone","Somewhere else",37.9778781,-122.2927379,"California"
"659","BSchulz33868165","San Carlos, CA",37.5071591,-122.2605222,"California"
"660","mycity_504","New Orleans/Houston",29.9365048,-90.0776554,"Louisiana"
"663","CastroNayelie","Syracuse, NY",43.0481221,-76.1474244,"New York"
"666","mcpastorpast","Gilbert, AZ",33.3528264,-111.789027,"Arizona"
"667","LouisVEE_","New Jersey, USA",40.0583238,-74.4056612,"New Jersey"
"669","LovelyShem_","Connecticut, USA",41.6032207,-73.087749,"Connecticut"
"670","xQuickSlowDownx","Maryland, USA",39.0457549,-76.6412712,"Maryland"
"674","CarlLachman","Orange County, CA",33.7174708,-117.8311428,"California"
"675","proudmaraiss","West Hollywood, CA",34.0900091,-118.3617443,"California"
"680","_Joeylynne","Los Angeles, CA",34.0522342,-118.2436849,"California"
"681","xdxstinyx","VA",36.103255,-95.8716018,"Oklahoma"
"684","AsHlEy__KiNg96","Coffeyville, KS",37.0373005,-95.6163665,"Kansas"
"687","armani_jole","Cleveland, OH",41.49932,-81.6943605,"Ohio"
"688","alinthearchives","Georgia, USA",32.1656221,-82.9000751,"Georgia"
"690","Winston_Truth","American Redoubt",40.850771,-73.944958,"New York"
"692","quincy_staley","Midtown, Atlanta",33.783315,-84.3831166,"Georgia"
"695","betty_leighton","Oklahoma, USA",35.0077519,-97.092877,"Oklahoma"
"696","BurgessKurt","Indiana",40.2671941,-86.1349019,"Indiana"
"697","uknow_bellafant","Texas, USA",31.9685988,-99.9018131,"Texas"
"700","SDWilsonWrites","Georgia, USA",32.1656221,-82.9000751,"Georgia"
