"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"230","Effect of #portacaval shunts on #lymph flow in the #thoracic duct.
To know more: https://t.co/w9wNO8Khe2… https://t.co/XCoNXwkayc",FALSE,0,NA,"1551162555",TRUE,NA,"1100281620223778816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Surgery2019",0,FALSE,FALSE,NA,NA
"231","i wanna see your lymph nodes. https://t.co/VWQvmvvMF4",FALSE,0,NA,"1551162420",FALSE,NA,"1100281053414010880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","melodicire",0,FALSE,FALSE,NA,NA
"232","Every day my body surprises me with something new... Today it's a painful swollen lymph node  <U+0001F629><U+0001F611> #Ineedanewbody",FALSE,1,NA,"1551162349",FALSE,NA,"1100280756197298176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sharda_singh",0,FALSE,FALSE,NA,NA
"233","Google is not my friend - the moment I saw felv on list of potential causes of swollen lymph the waves of anxiety <U+0001F62D>… https://t.co/k5k4bMpn9Q",FALSE,0,"LingerieLayla","1551162253",TRUE,"1100277545499586560","1100280353783275520","58673389","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LingerieLayla",0,FALSE,FALSE,NA,NA
"234","X-ray rest of Loki’s chest was clear. Ultrasound of his abdomen was mostly clear, showing prominent lymph nodes aro… https://t.co/8cIdEemORv",FALSE,0,NA,"1551162140",TRUE,NA,"1100279880711688192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","neuralcluster",0,FALSE,FALSE,NA,NA
"235","Oh no my kittens neck lymph node looks swollen and after her hospitalization in aug I am not prepared for another r… https://t.co/SGO60JTeWM",FALSE,0,NA,"1551161583",TRUE,NA,"1100277545499586560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LingerieLayla",0,FALSE,FALSE,NA,NA
"236","Is that a lymph node? Its just the angle or she really has it? Urrrr Jisoo<U+0001F61F> #JISOO https://t.co/WLdpDdb2Uk",FALSE,4,NA,"1551159954",FALSE,NA,"1100270712193986560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rhodonotablink",0,FALSE,FALSE,NA,NA
"237","A case of compression of the principal bile duct at its origin by a tuberculous lymph gland https://t.co/XhEutwW4Ra… https://t.co/Sw9Km9ISXn",FALSE,0,NA,"1551159662",TRUE,NA,"1100269488057077760",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","EurekaMag",2,FALSE,FALSE,NA,NA
"238","@campaignkate 22 years ago my mom died of secondary breast cancer, diagnosed at 47, offered a lumpectomy and radiat… https://t.co/nDyrB0qf5w",FALSE,2,"campaignkate","1551159228",TRUE,"1100054020826320896","1100267667750035456","2590080943","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dollybb37",0,FALSE,FALSE,NA,NA
"239","I'm convinced cottage cheese tastes like lymph nodes",FALSE,4,NA,"1551158791",FALSE,NA,"1100265833455124480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SKEEerra",0,FALSE,FALSE,NA,NA
"240","My neck is huge because of my lymph nodes being so enlarged. <U+0001F629> #LifeWithHashimotosDisease",FALSE,0,NA,"1551157451",FALSE,NA,"1100260213133840384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendralandis1",0,FALSE,FALSE,NA,NA
"241","<U+7D50><U+5C40><U+30AB><U+30E9><U+30C0><U+304C><U+5143><U+6C17><U+306A><U+306E><U+304C><U+4E00><U+756A><U+306E><U+5E78><U+305B>(<U+10E6><U+02D8><U+3142><U+02D8><U+10E6>)…#<U+5065><U+5EB7>#<U+30DF><U+30CD><U+30E9><U+30EB>#<U+6804><U+990A><U+305F><U+3063><U+3077><U+308A>#<U+4F53><U+8CEA><U+6539><U+5584>#<U+7F8E><U+808C>#<U+808C><U+30AD><U+30EC><U+30A4>https://t.co/QFJzOtOJmR",FALSE,0,NA,"1551157291",FALSE,NA,"1100259542204592128",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","lymph_ruru",0,FALSE,FALSE,NA,NA
"242","@lymph_ <U+3042><U+3044><U+3064><U+306F>DPS <U+4ECA><U+65E5><U+308A><U+3093><U+3071><U+3055><U+3093><U+4ED5><U+4E8B><U+304B><U+306A><U+3093><U+304B><U+FF1F>",FALSE,0,"lymph_","1551157088",FALSE,"1100237956487438336","1100258692388159488","773516443","<a href=""http://janetter.net/"" rel=""nofollow"">Janetter</a>","Liar_9z",0,FALSE,FALSE,NA,NA
"243","@TeamHaem Full blood counts with differentials,liver,renal and bone profile,viruses HBV,HCV HiV testing,CXR,abdomin… https://t.co/o9UJnAqCHe",FALSE,2,"TeamHaem","1551156049",TRUE,"1100109852213424128","1100254334951088128","932823252","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rabiaahmad3",0,FALSE,FALSE,NA,NA
"244","The flow of ""lymph"" is maintained by __________ . https://t.co/7Ps8Ybed3C",FALSE,0,NA,"1551155407",FALSE,NA,"1100251641398333440",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Mgmasala",0,FALSE,FALSE,NA,NA
"245","Am I finna die because my lymph nodes swollen asf and I feel like I’m about to throw up <U+0001F633>",FALSE,1,NA,"1551155056",FALSE,NA,"1100250170330091520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hoenestIyy",0,FALSE,FALSE,NA,NA
"246","Compression of retropancreatic common bile duct by tuberculous lymph nodes causing obstructive icterus https://t.co/XnHgrtYpg2",FALSE,0,NA,"1551154577",FALSE,NA,"1100248158351884288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EurekaMag",2,FALSE,FALSE,NA,NA
"247","Obstructive jaundice with portal hypertension caused by compression of the hepatic pedicle by tuberculous lymph nod… https://t.co/YXgsbvFzXn",FALSE,0,NA,"1551154310",TRUE,NA,"1100247040951545856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EurekaMag",2,FALSE,FALSE,NA,NA
"248","Jisoo got lymph nodes .. poor baby",FALSE,0,NA,"1551153801",FALSE,NA,"1100244904830107648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","photskieebaby",0,FALSE,FALSE,NA,NA
"249","@behsss It probably isn’t very assuring to know, but cancerous tumors are generally not painful. I had the same thi… https://t.co/7rXeBBNxRf",FALSE,2,"behsss","1551153711",TRUE,"1100243350379061248","1100244528504594432","1566992324","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jessiddb",0,FALSE,FALSE,NA,NA
