"","screenName","location","latitude","longitude","state"
"290","momnkc18","Pennsylvania, USA",41.2033216,-77.1945247,"Pennsylvania"
"291","CovfefeAnd","Central Cali",36.9915398,-119.7889248,"California"
"292","bgrube18","Hamburg, NY",42.7158927,-78.8294768,"New York"
"293","sccadmedic","St. Charles County, MO",38.7338885,-90.8294002,"Missouri"
"295","heatherpeno","Stateless",40.0083495,-105.2579263,"Colorado"
"296","Shanna_Marzilli","Rhode Island",41.5800945,-71.4774291,"Rhode Island"
"297","theBSinBSN"," Parts Unknown",32.7541798,-97.3322299,"Texas"
"299","Soutthpaw","Sparks, NV",39.5349112,-119.7526886,"Nevada"
"304","Koedel526","Michigan, USA",44.3148443,-85.6023643,"Michigan"
"305","TR1N1TY3","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"306","mnrmg","Cedar Falls, Iowa",42.5348993,-92.4453161,"Iowa"
"307","TCLocketLove","Connecticut, USA",41.6032207,-73.087749,"Connecticut"
"310","behindthenet","San Francisco, CA",37.7749295,-122.4194155,"California"
"313","kml4694","The Mitten State",44.3148443,-85.6023643,"Michigan"
"314","jayhawkrx93","Kansas",39.011902,-98.4842465,"Kansas"
"315","Jasmine_Sharee","Wherever God & dreams take me",42.95076,-85.6363739,"Michigan"
"317","KendalSheppard","Pacific Northwest",45.5272148,-122.6779081,"Oregon"
"320","Texastine","Houston, Texas, USA",29.7604267,-95.3698028,"Texas"
"321","cordelia__w","My Old Kentucky Home",37.8069259,-85.4564599,"Kentucky"
"324","_livingfree","Northeastern Florida, U.S.",29.95439,-81.3428916,"Florida"
"325","MsKaty","Western Kentucky",36.9853543,-86.456138,"Kentucky"
"326","Connigrantphoto","richmond virginia",37.5407246,-77.4360481,"Virginia"
"327","Bpramos80","Florida, USA",27.6648274,-81.5157535,"Florida"
"329","NJanitz","Jacksonville, N.C. ",34.7540524,-77.4302414,"North Carolina"
"331","arsalanhahsmi","Brooklyn, NY",40.6781784,-73.9441579,"New York"
"333","starsareblack","West Coast",62.4113634,-149.0729714,"Alaska"
"335","SeeBeeSea","Virginia",37.4315734,-78.6568942,"Virginia"
"336","SteveTrush","Oakland, CA",37.8043637,-122.2711137,"California"
"337","terrysimpson","Arizona and Alaska",34.0489281,-111.0937311,"Arizona"
"339","AtMuncie","Where ever you are",42.790719,-83.72064,"Michigan"
"340","PJM143","Boston, MA<U+0001F3C6><U+0001F3C6><U+0001F3C6><U+0001F3C6><U+0001F3C6><U+0001F3C6>SIX<U+2764><U+FE0F><U+0001F499>",42.3600825,-71.0588801,"Massachusetts"
"342","AndyLeeParker1","Portland, Oregon",45.5122308,-122.6587185,"Oregon"
"344","bronco7732"," Brooklyn, NY",40.6781784,-73.9441579,"New York"
"345","PartPurple","Raleigh, NC",35.7795897,-78.6381787,"North Carolina"
"346","JJComfortDog","Oregon, USA",43.8041334,-120.5542012,"Oregon"
"347","ucantstop_me","around",41.4816835,-81.8281446,"Ohio"
"348","flinstoneski","not far",42.726053,-88.5424226,"Wisconsin"
"350","leronford","Rock Hill, SC",34.9248667,-81.0250784,"South Carolina"
"352","KAM4Texas","Deep in the <U+2764><U+FE0F> of Texas !",31.9685988,-99.9018131,"Texas"
"356","MysticMeerkat","The Lobby",40.4212783,-86.9136068,"Indiana"
"357","HaY_RaY","Benton, AR",34.5645371,-92.586828,"Arkansas"
"358","jejackson64","Denver",39.7392358,-104.990251,"Colorado"
"359","opabinia_seabug","Clay County, MO",39.3176186,-94.479976,"Missouri"
"360","jonboy0217","915 El Chuco",31.8554093,-106.436848,"Texas"
"361","sentimentlrobot","Los Angeles, CA",34.0522342,-118.2436849,"California"
"362","guitargirl0723","Corbin, KY",36.9486986,-84.0968761,"Kentucky"
