"","screenName","location","latitude","longitude","state"
"1510","ladydebidebz1","Durban, South Africa",-29.8586804,31.0218404,"Washington"
"1511","goldenwavves","California, USA",36.778261,-119.4179324,"California"
"1512","RoseVicJohn","New York, USA",40.7127753,-74.0059728,"New York"
"1513","reynaldor36","Holden, MA",42.3517585,-71.8634062,"Massachusetts"
"1514","abc15","Phoenix, AZ",33.4483771,-112.0740373,"Arizona"
"1515","kaycasey","Charleston, SC",32.7764749,-79.9310512,"South Carolina"
"1516","MTSManagement","Pittsburgh, PA",40.4406248,-79.9958864,"Pennsylvania"
"1518","uihealthcare","Iowa City, Iowa",41.6611277,-91.5301683,"Iowa"
"1519","ShannaPea_","Thibodaux, LA",29.7957633,-90.822871,"Louisiana"
"1521","skinnyIisa","Lost",36.834603,-94.6171303,"Missouri"
"1522","AlgTaken","hell",42.43472,-83.985,"Michigan"
"1524","Montana_Tweets","Big Sky",45.2617806,-111.3080244,"Montana"
"1525","JumpAlyssa","Oologah Oklahoma ",36.4470387,-95.708315,"Oklahoma"
"1526","makeupbycess","California, USA",36.778261,-119.4179324,"California"
"1527","MileHighJay","The City of Seven Hills",41.9027835,12.4963655,"California"
"1529","psepi","Boulder City, Nevada USA",35.9782216,-114.8345117,"Nevada"
"1530","harmanxhundal","LA Born // Seattle Raised",47.662691,-122.378401,"Washington"
"1531","marshallfoxy","Eugene, OR",44.0520691,-123.0867536,"Oregon"
"1534","PCreighton1","Houston",29.7604267,-95.3698028,"Texas"
"1535","ElizabethCarml","Newport Coast, CA",33.5973864,-117.8369007,"California"
"1536","Liddy_jean13","St Louis, MO",38.6270025,-90.1994042,"Missouri"
"1538","cashmoneychlo_","Nashville, TN",36.1626638,-86.7816016,"Tennessee"
"1539","patricknathan","Minneapolis, MN",44.977753,-93.2650108,"Minnesota"
"1540","DawnNeufeld","Texas",31.9685988,-99.9018131,"Texas"
"1541","hellokerryrose","Worcester, MA",42.2625932,-71.8022934,"Massachusetts"
"1543","wesrucker247","Knoxville, Tennessee",35.9606384,-83.9207392,"Tennessee"
"1544","Nenigirlontheb1","Virginia Beach, VA",36.8529263,-75.977985,"Virginia"
"1547","B0WENarrow","Baltimore, MD",39.2903848,-76.6121893,"Maryland"
"1551","RiverFloww","Atlanta, GA / New Orleans, La",29.8991356,-90.0622862,"Louisiana"
"1553","bass_drum_dylan","Royse City, TX",32.9751204,-96.3324817,"Texas"
"1557","jasminegrosse","Texas, USA",31.9685988,-99.9018131,"Texas"
"1558","JeanLucMeisel","Everywhere.",33.7589188,-84.3640829,"Georgia"
"1560","amy_sitwala","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"1561","taco_mama","Los Angeles, CA",34.0522342,-118.2436849,"California"
"1563","imlowkeyEXOchen","Orange Grove, Tx",27.9566843,-97.9369447,"Texas"
"1564","omega3825","Florida, USA",27.6648274,-81.5157535,"Florida"
"1565","MicahChatterton","Riverside, CA",33.9806005,-117.3754942,"California"
"1569","MissyWatters98","Texas",31.9685988,-99.9018131,"Texas"
"1570","fakeArian","Northern VA/Washington DC",38.846755,-77.1159,"Virginia"
"1571","JimiLightspeed","Seattle",47.6062095,-122.3320708,"Washington"
"1578","misstoshaboo","Las Vegas, NV",36.1699412,-115.1398296,"Nevada"
"1579","TrtDana","Las Vegas, NV",36.1699412,-115.1398296,"Nevada"
"1583","TexasQueen4Ever","Out of Reach",39.9864848,-75.5668331,"Pennsylvania"
"1584","gingers715","South Lebanon, OH",39.3708927,-84.2132698,"Ohio"
"1585","hiparnold","Fort Lauderdale Florida",26.1224386,-80.1373174,"Florida"
"1588","bradleyjamess","Cincinnati, OH",39.1031182,-84.5120196,"Ohio"
"1589","BertrandSandjo2","Lubbock, TX",33.5778631,-101.8551665,"Texas"
"1590","alayna_kam","Cleveland, OH",41.49932,-81.6943605,"Ohio"
"1591","Wedsxaddams","The upside down",41.9242452,-87.6993324,"Illinois"
"1592","45Disclaimers","Washington, USA",47.7510741,-120.7401385,"Washington"
"1593","revdonna","Los Angeles, CA",34.0522342,-118.2436849,"California"
"1594","RealHeatherK","Loganville, GA",33.8389977,-83.9007382,"Georgia"
"1596","LEONARD2273","jacksonville, FL ",30.3321838,-81.655651,"Florida"
"1597","BookNerd0486","California, USA",36.778261,-119.4179324,"California"
"1598","sbaio_blcked_me","Ohio, USA",40.4172871,-82.907123,"Ohio"
"1599","PoetryAlive","Asheville, NC",35.5950581,-82.5514869,"North Carolina"
"1600","RachaelButera","Pittsburgh, PA",40.4406248,-79.9958864,"Pennsylvania"
"1603","mochegato","Kansas, USA",39.011902,-98.4842465,"Kansas"
"1605","alex_cna6","Colorado, USA",39.5500507,-105.7820674,"Colorado"
"1608","swainspr","Ohio, USA",40.4172871,-82.907123,"Ohio"
"1609","lwtsugarlips","g",37.0412191,-95.6393167,"Kansas"
"1611","_heykaro","Tampa, FL",27.950575,-82.4571776,"Florida"
"1612","LittleRockWBB","Little Rock, AR",34.7464809,-92.2895948,"Arkansas"
"1613","ReginaPhelps","San Francisco, CA",37.7749295,-122.4194155,"California"
"1615","niTanVieja","Tucusiapon del Norte",33.0144484,-117.1214139,"California"
"1616","onmybsagain","Austin, TX",30.267153,-97.7430608,"Texas"
"1622","mama_knc","Missouri, USA",37.9642529,-91.8318334,"Missouri"
"1623","des_dawnn","660",42.3518415,-71.0624303,"Massachusetts"
"1624","nota_bennett","San Francisco, CA",37.7749295,-122.4194155,"California"
